vcp=अंश,4 skd=अंश,5
vcp=चीव,19988;चीव,19989 skd=चीव,12687;चीव,12688
vcp=चुक्क,19992 skd=चुक्क,12691
vcp=चुच्य,20007 skd=चुच्य,12704
vcp=चुट,20011;चुट,20012;चुट,20013;चुट,20014 skd=चुट,12708;चुट,12709;चुट,12710;चुट,12711
vcp=चुट्ट,20015 skd=चुट्ट,12712
vcp=चुड,20016;चुड,20017 skd=चुड,12713;चुड,12714
vcp=चुड्ड,20018 skd=चुड्ड,12717
vcp=चुण,20019 skd=चुण,12718
vcp=चुत,20021 skd=चुत,12721
vcp=चुद,20023 skd=चुद,12724
vcp=? skd=चुद्ड,12725
vcp=चुप,20025 skd=चुप,12727
vcp=चुब,20028 skd=चुब,12728
vcp=चुर,20035 skd=चुर,12733
vcp=चुरण,20037 skd=?
vcp=चुल,20041 skd=?
vcp=चुलुम्प,20046 skd=चुलुम्प,12739
vcp=चुल्ल,20049 skd=चुल्ल,12743
vcp=चूण,20064 skd=चूण,12758
vcp=चूर,20066 skd=चूर,12761
vcp=चूर्ण्ण,20068 skd=चूर्ण,12762 (*)
vcp=चूष,20087 skd=चूष,12781
vcp=चृत,20090;चृत,20091 skd=चृत्,12783;चृत्,12784 (*)
vcp=चेल,20116 skd=चेल,12805
vcp=चेल्ल,20124 skd=चेल्ल,12811
vcp=चेष्ट,20125 skd=चेष्ट,12812
vcp=च्यु,20206;च्यु,20207 skd=च्यु,12863;च्यु,12864
vcp=च्युत,20208 skd=च्युत्,12865 (*)
vcp=च्युस,20212 skd=च्युस,12869
vcp=छद,20243;छद,20244;छद,20245 skd=छद,12907;छद,12908;छद,12909
vcp=छप,20270 skd=छप,12925
vcp=छम,20271 skd=छम,12926
vcp=छर्द्द,20273 skd=छर्द्द,12928
vcp=छष,20289 skd=छष,12942
vcp=छिद,20341 skd=छिद,12989
vcp=छिद्र,20348 skd=छिद्र,12995
vcp=छुट,20373 skd=छुट,13012
vcp=छुड,20374;छुड,20375 skd=?
vcp=छुप,20377 skd=छुप,13014
vcp=छुर,20380;छुर,20381 skd=छुर,13016;छुर,13017
vcp=छृद,20389;छृद,20390 skd=छृद,13024;छृद,13025
vcp=छृप,20391 skd=?
vcp=छेद,20394 skd=छेद,13028
vcp=छो,20406 skd=छो,13036
vcp=छ्यु,20412 skd=छ्यु,13041
